lat,lon,EventNumber
-80.1463,169.343,3385999
-80.2648,178.724,3386006
-80.2994,178.756,3386011
-80.1714,169.336,3386018
-80.1965,169.328,3386021
-80.1463,169.343,3386038
-80.119,176.66,3386042
-80.1719,169.335,3386076
-80.2973,169.285,3386086
-80.197,169.327,3386090
-80.197,169.327,3386096
-80.1316,163.165,3386098
-80.2973,169.285,3386104
-80.1686,165.597,3386111
-80.2978,169.285,3386116
-80.1975,169.326,3386122
-80.2978,169.285,3386139
-80.1975,169.326,3386143
-80.3355,178.787,3386151
-80.0211,165.7,3386154
-80.0469,169.361,3386160
-80.0469,169.361,3386174
-80.2983,169.284,3386187
-80.198,169.326,3386188
-80.0474,169.36,3386195
-80.2988,169.283,3386296
-80.2983,169.284,3386211
-80.0637,165.674,3386232
-80.0479,169.359,3386239
-80.0479,169.359,3386254
-80.1985,169.325,3386258
-80.1985,169.325,3386262
-80.0479,169.359,3386274
-80.1734,169.333,3386278
-80.3505,176.797,3386287
-80.1985,169.325,3386303
-80.0485,169.359,3386310
-80.3512,176.797,3386328
-80.2993,169.282,3386339
-80.199,169.324,3386343
-80.2241,169.315,3386347
-80.2241,169.315,3386353
-80.2742,169.294,3386354
-80.1243,169.345,3386372
-80.1995,169.323,3386373
-80.1243,169.345,3386376
-80.0861,165.657,3386387
-80.3383,178.788,3386398
-80.0495,169.357,3386459
-80.2697,178.726,3386463
-80.175,169.331,3386470
-80.049,169.358,3386406
-80.3036,178.757,3386410
-80.3383,178.788,3386411
-80.2128,165.556,3386438
-80.175,169.331,3386448
-80.2753,169.292,3386450
-80.0246,176.581,3386938
-80.2256,169.304,3387498
-80.1997,169.313,3387586
-80.1231,176.651,3387598
-80.0076,176.553,3388760
-80.1859,169.307,3388765
-80.334,176.77,3388767
-80.1842,169.307,3388772
-80.259,169.269,3389852
-80.1838,169.298,3389856
-80.234,169.28,3389874
-80.2505,169.27,3390191
-80.1,169.316,3390200
-80.1485,169.304,3390220
-80.1234,169.31,3390226
-80.2677,178.695,3390227
-80.1234,169.31,3390234
-80.2488,169.27,3390252
-80.2238,169.28,3390254
-80.2488,169.27,3390266
-80.1485,169.304,3390271
-80.0312,161.422,3390272
-80.147,169.304,3390304
-80.1219,169.31,3390307
-80.1721,169.297,3390350
-80.1219,169.31,3390355
-80.2812,176.727,3390388
-80.2458,169.27,3390398
-80.1957,169.288,3390406
-80.1204,169.31,3390411
-80.1455,169.304,3390412
-80.2458,169.27,3390422
-80.2635,178.69,3390423
-80.1945,178.623,3390434
-80.1455,169.304,3390435
-80.1455,169.304,3390442
-80.1455,169.304,3390443
-80.1691,169.296,3390458
-80.2443,169.27,3390461
-80.0929,163.167,3390462
-80.2269,178.654,3390467
-80.0687,169.319,3390471
-80.144,169.303,3390475
-80.1691,169.296,3390503
-80.144,169.303,3390510
-80.1646,165.56,3390536
-80.1174,169.309,3390543
-80.2428,169.269,3390546
-80.1425,169.303,3390552
-80.1174,169.309,3390576
-80.1927,169.288,3390578
-80.1676,169.296,3390599
-80.2413,169.269,3390610
-80.2413,169.269,3390611
-80.141,169.303,3390614
-80.141,169.303,3390633
-80.141,169.303,3390636
-80.2228,178.649,3390643
-80.141,169.303,3390647
-80.2163,169.279,3390670
-80.2398,169.269,3390680
-80.1395,169.302,3390691
-80.2733,176.72,3390703
-80.2398,169.269,3390722
-80.1144,169.308,3390723
-80.1395,169.302,3390746
-80.138,169.302,3390751
-80.1129,169.308,3390766
-80.1842,178.609,3390767
-80.1631,169.295,3390771
-80.1882,169.288,3390775
-80.1129,169.308,3390815
-80.1867,169.287,3390832
-80.1365,169.302,3390887
-80.2837,178.703,3390901
-80.2675,176.714,3390920
-80.0848,169.312,3390925
-80.135,169.301,3390931
-80.1099,169.307,3390951
-80.1601,169.295,3390955
-80.2339,169.269,3391002
-80.1084,169.307,3391019
-80.1837,169.287,3391026
-80.1084,169.307,3391041
-80.2339,169.269,3391043
-80.1335,169.301,3391046
-80.2104,178.632,3391062
-80.2073,169.278,3391064
-80.132,169.301,3391079
-80.1069,169.306,3391090
-80.132,169.301,3391094
-80.1556,169.294,3391167
-80.1305,169.3,3391177
-80.1305,169.3,3391154
-80.2324,169.269,3391107
-80.0294,165.649,3391110
-80.1069,169.306,3391112
-80.2324,169.269,3391126
-80.1739,178.594,3391142
-80.1335,165.579,3391181
-80.1305,169.3,3391188
-80.083,163.172,3391191
-80.0184,161.429,3391217
-80.1792,169.286,3391218
-80.0819,163.172,3391250
-80.2596,176.707,3391268
-80.2043,169.278,3391271
-80.2388,178.657,3391325
-80.1024,169.305,3391335
-80.2367,178.654,3391355
-80.1511,169.293,3391364
-80.1009,169.305,3391374
-80.0507,169.313,3391379
-80.0875,169.264,3395363
-80.238,169.218,3395623
-80.2128,169.223,3396003
-80.2378,169.214,3396004
-80.1375,169.247,3396010
-80.2378,169.214,3396016
-80.1375,169.246,3396019
-80.1076,176.544,3396048
-80.2283,169.21,3396584
-79.0135,149.561,3396585
-80.171,178.509,3396594
-80.2283,169.21,3396539
