lat,lon
-80.0383,165.751
-80.3433,169.32
-80.2431,169.369
-80.218,169.379
-80.0918,169.415
-80.0424,169.422
-80.2431,169.369
-80.218,169.379
-80.0933,169.413
-80.0431,169.421
-80.3998,178.888
-80.0431,169.421
-80.2438,169.369
-80.0601,165.737
-80.1474,163.206
-80.1944,169.386
-80.1491,176.733
-80.1817,176.754
-80.2195,169.377
-80.1944,169.386
-80.2195,169.377
-80.0218,178.513
-80.094,169.413
-80.0188,169.423
-80.4119,176.877
-80.2453,169.367
-80.248,176.795
-80.2202,169.376
-80.0453,169.419
-80.2499,169.357
-80.0479,169.41
-80.2697,169.316
-80.2916,169.303
-80.1922,169.338
-80.1929,169.336
-80.2179,169.327
-80.0423,169.37
-80.243,169.317
-80.1929,169.336
-80.1929,169.336
-80.2931,169.295
-80.2931,169.295
-80.2681,169.307
-80.1956,169.33
-80.0454,169.363
-80.1706,169.338
-80.1505,176.683
-80.1706,169.338
-80.3329,178.787
-80.1956,169.33
-80.196,169.329
-80.1458,169.344
-80.0454,169.363
-80.062,165.677
-80.2962,169.287
-80.0835,165.663
-80.1463,169.343
-80.2648,178.724
-80.2994,178.756
-80.1714,169.336
-80.1965,169.328
-80.1463,169.343
-80.119,176.66
-80.1719,169.335
-80.2973,169.285
-80.197,169.327
-80.197,169.327
-80.1316,163.165
-80.2973,169.285
-80.1686,165.597
-80.2978,169.285
-80.1975,169.326
-80.2978,169.285
-80.1975,169.326
-80.3355,178.787
-80.0211,165.7
-80.0469,169.361
-80.0469,169.361
-80.2983,169.284
-80.198,169.326
-80.0474,169.36
-80.2988,169.283
-80.2983,169.284
-80.0637,165.674
-80.0479,169.359
-80.0479,169.359
-80.1985,169.325
-80.1985,169.325
-80.0479,169.359
-80.1734,169.333
-80.3505,176.797
-80.1985,169.325
-80.0485,169.359
-80.3512,176.797
-80.2993,169.282
-80.199,169.324
-80.2241,169.315
-80.2241,169.315
-80.2742,169.294
-80.1243,169.345
-80.1995,169.323
-80.1243,169.345
-80.0861,165.657
-80.3383,178.788
-80.0495,169.357
-80.2697,178.726
-80.175,169.331
-80.049,169.358
-80.3036,178.757
-80.3383,178.788
-80.2128,165.556
-80.175,169.331
-80.2753,169.292
-80.0246,176.581
-80.2256,169.304
-80.1997,169.313
-80.1231,176.651
-80.0076,176.553
-80.1859,169.307
-80.334,176.77
-80.1842,169.307
-80.259,169.269
-80.1838,169.298
-80.234,169.28
-80.2505,169.27
-80.1,169.316
-80.1485,169.304
-80.1234,169.31
-80.2677,178.695
-80.1234,169.31
-80.2488,169.27
-80.2238,169.28
-80.2488,169.27
-80.1485,169.304
-80.0312,161.422
-80.147,169.304
-80.1219,169.31
-80.1721,169.297
-80.1219,169.31
-80.2812,176.727
-80.2458,169.27
-80.1957,169.288
-80.1204,169.31
-80.1455,169.304
-80.2458,169.27
-80.2635,178.69
-80.1945,178.623
-80.1455,169.304
-80.1455,169.304
-80.1455,169.304
-80.1691,169.296
-80.2443,169.27
-80.0929,163.167
-80.2269,178.654
-80.0687,169.319
-80.144,169.303
-80.1691,169.296
-80.144,169.303
