lat,lon,EventNumber
-79.1241,-94.2056,21482751
-77.4322,-99.3688,21482979
-78.6034,-97.7333,21482980
-79.5207,-113.41,21483002
-78.5694,-97.238,21483003
-78.4342,-96.1875,21483703
-78.5011,-96.8948,21483798
-78.5192,-97.3571,21483799
-79.4748,-113.432,21484551
-79.4754,-113.438,21485391
-79.5052,-113.42,21485392
-79.3588,-113.498,21485485
-79.3502,-113.514,21486041
-79.3502,-113.514,21486042
-78.5279,-97.3705,21486069
-79.393,-113.512,21486636
-78.654,-97.08,21486654
-79.4758,-113.469,21486655
-78.3499,-113.413,21486973
-79.4404,-113.519,21487470
-79.3755,-113.552,21487491
-76.9906,-112.547,21487492
-78.6482,-94.4651,21488115
-79.5334,-113.488,21488116
-79.5923,-114.527,21488135
-79.5621,-113.47,21488136
-79.617,-113.434,21488227
-79.4841,-113.54,21488740
-80.2397,-98.4095,21488741
-79.5985,-113.467,21488764
-79.3453,-113.619,21489101
-79.488,-113.563,21489590
-79.3681,-113.623,21489591
-79.4482,-113.585,21489612
-78.5657,-97.3556,21489613
-78.4616,-96.6314,21489661
-79.6176,-113.495,21490252
-81.7569,-107.428,21490253
-79.5959,-113.527,21490967
-78.6145,-97.2652,21490968
-78.5685,-97.379,21491313
-79.2541,-113.712,21491868
-78.5278,-97.4779,21491971
-79.5872,-113.562,21492290
-79.5165,-113.612,21492552
-79.3214,-108.186,21493242
-79.4045,-113.682,21493243
-79.5634,-113.601,21494201
-78.5903,-97.377,21494202
-79.5575,-113.605,21494301
-78.6147,-97.3275,21494727
-79.4604,-113.662,21494825
-78.6344,-97.2807,21494826
-79.4535,-113.666,21494849
-78.651,-97.239,21494850
-78.5773,-97.4253,21495491
-79.5161,-113.629,21495492
-79.2987,-113.729,21495514
-78.5171,-97.5527,21495515
-78.5788,-96.9232,21496335
-79.6716,-114.607,21496356
-79.5512,-113.603,21497043
-79.4853,-113.642,21497065
-79.5268,-113.618,21497148
-79.5455,-113.608,21497751
-79.5049,-113.632,21497769
-78.9538,-113.772,21498020
-79.5363,-113.62,21498623
-79.5843,-114.655,21498646
-78.6247,-97.3748,21499300
-79.1663,-113.77,21499301
-78.549,-97.5548,21499940
-78.5886,-98.0361,21499941
-78.5553,-97.542,21499966
-78.5953,-98.0227,21499967
-79.5973,-113.598,21500346
-79.7656,-113.468,21500924
-79.5029,-113.667,21501380
-78.6002,-96.9553,21501574
-78.737,-98.3861,21501575
-78.9853,-113.803,21501601
-79.5034,-113.673,21502207
-79.5529,-113.643,21502236
-80.1034,-96.9572,21503180
-76.9785,-111.824,21503181
-79.2654,-113.775,21503318
-79.5979,-114.679,21503817
-79.0975,-113.809,21503901
-78.5297,-97.153,21503920
-76.94,-111.753,21504726
-79.6573,-113.585,21505153
-79.278,-113.791,21505955
-78.7336,-99.2161,21506875
-79.1848,-113.83,21507009
-78.5763,-98.7966,21508050
-79.016,-113.875,21508735
-79.0545,-113.876,21508865
-79.5628,-113.713,21508866
-79.3665,-113.825,21509944
-77.4333,-112.645,21509945
-79.228,-113.871,21510855
-78.495,-97.3039,21510880
-79.6873,-113.644,21510881
-79.3239,-113.847,21511217
-79.4154,-114.839,21511829
-79.6685,-113.66,21511962
-78.4559,-96.5551,21512156
-79.0797,-113.892,21512863
-79.164,-113.881,21513777
-79.114,-113.887,21513802
-78.6843,-98.6495,21513803
-79.6228,-113.684,21515154
-80.9931,-112.61,21515765
-79.0687,-113.883,21515933
-79.3024,-113.84,21516886
-79.5111,-113.751,21516887
-79.3298,-114.831,21516916
-82.2741,-103.58,21516917
-79.4423,-113.788,21517349
-81.0493,-102.51,21518139
-78.665,-98.7288,21518140
-79.1595,-113.885,21519152
-78.8077,-106.828,21632375
-78.5646,-98.8809,21632766
-78.8318,-109.698,21633203
-80.8373,-105.524,21633204
-79.3222,-109.45,21634047
-78.8068,-98.46,21634170
-78.7494,-98.0874,21634852
-79.3695,-109.408,21635024
-79.4932,-106.089,21635940
-77.9056,-113.713,21636081
-79.3277,-109.448,21636789
-78.695,-98.7133,21636897
-79.208,-109.547,21637540
-80.1655,-101.426,21637541
-77.5246,-103.048,21637909
